varaaja_id,näytös_id,paikka
maija@esim.com,000,20
matti@esim.com,000,21
uusikayttaja@esim.fi,000,5
elli_esimerkki@esim.fi,001,75
maija@esim.com,001,35
jartsaboi@jabadabaduu.fi,008,34
jartsaboi@jabadabaduu.fi,008,35
jartsaboi@jabadabaduu.fi,008,36
jartsaboi@jabadabaduu.fi,008,37
lispinliisa@esim.com,005,41
elli_esimerkki@esim.fi,004,55
peksi@python.fi,004,34
peksi@python.fi,012,77
maija@esim.com,007,36
matti@esim.com,007,55
lispinliisa@esim.com,003,52
e@esim.fi,003,28
erkki@esim.fi,003,20
p,001,51
